Datum;Uhrzeit;Ort;Name;Veranstalter
01.04.2024;;Dorfplatz;Ostereiersuche;Kirchengemeinde mit Förderverein St. Michael
15.04.2024;19:30;;Vereinsringsitzung;VR Niederjosbach
20.04.2024;19:00;Vereinssaal;Musikalischer Abend;Gesangverein Sängerlust
28.04.2024;15:30;"eh. Gasthof ""Krone""";Kaffeenachmittag;Heimat- u. Geschichtsverein
01.05.2024;;Feuerwehrgerätehaus und Vorplatz;Frühschoppen (Musik ab 11 Uhr);FFW Niederjosbach
09.05.2024;;Burg;Fest der Vereine;Burgverein
09.05.2024;;;Vatertagswanderung;FFW Niederjosbach
09.05.2024;;;Vatertagswanderung;Gesangverein Taunusliebe
12.05.2024;14:30;Vereinssaal;Muttertagskaffee;Gesangverein Taunusliebe
17.05.2024;;;40 Jahre Partnerschaft Waiern;FFW Niederjosbach
15.06.2024;16:00;Kirche;"Musical ""Mäuse in der Michaelskirche""";"""Instrument Stimme"" mit Förderverein St. Michael"
28.06.2024;;Dorfplatz;Weinstand;FFW Niederjosbach
28.06.2024;18:30;Kastanienhof;MGV HGV oder Stammtisch;Heimat- u. Geschichtsverein
28.06.2024;18:30;Kastanienhof;MGV HGV;
29.06.2024;;;Vereinsausflug OGV?;
06.07.2024;15:00;Dorfplatz;Dorfplatzfest;Gesangverein Taunusliebe
07.07.2024;11:00;Dorfplatz;Dorfplatzfest;Gesangverein Taunusliebe
25.08.2024;11:00;Zur Krone ;Sommerfest Heimat- und Geschichtsverein;Heimat- u. Geschichtsverein
09.09.2024;19:30;;VR-Adventsmarktsitzung;Vereinsring
20.09.2024;18:30;Kastanienhof;Stammtisch HGV;Heimat- u. Geschichtsverein
20.09.2024;;Kirche;Klavierkonzert;Förderverein St. Michael
27.09.2024;;;Scheunenparty;OGV Niederjosbach
04.10.2024;;Vereinssaal?;Jubiläums-Kelterfest;OGV
26.10.2024;14:00;Ecke Eppsteinerstr. / Gartenstr.;Dickworzschnitze;Heimat- u. Geschichtsverein
16.11.2024;17:11;Vor der Feuerwehr;Rathaussturm;GCC 1981 e.V.
17.11.2024;10:00;Ehrenmal;Gedenken zum Volkstrauertag;Vereinsring (insb. Taunusliebe) + Ortsvorsteherin
17.11.2024;11:00;Kirche;GoDi für Verstorbene der Taunusliebe;Gesangverein Taunusliebe
29.11.2024;18:30;Kastanienhof;Stammtisch;Heimat- und Geschichtsverein
30.11.2024;19:00;Vereinssaal;Unterhaltungsabend mit 1. Aufführung des Theaterstücks;Gesangverein Taunusliebe
01.12.2024;15:00;Vereinssaal;Kaffeenachmittag mit 2. Aufführung des Theaterstücks;Gesangverein Taunusliebe
07.12.2024;17:00;;Weihnachtsfeier GCC;GCC 1981 e.V.
08.12.2024;11:00;Dorfplatz;Adventsmarkt der Vereine;Vereinsring Njb.
08.12.2024;15:00;Kirche;Stimmhelden-Bilderbuchkino;Kirchengemeinde
14.12.2024;15:30;;Adventscafé;OGV Niederjosbach
13.12.2024;18:30;Vereinssaal;Weihnachtsfeier Chor + Helfer;Gesangverein Taunusliebe
24.12.2024;16:00;Eisbahn Kastanienhof?;Krippenspiel (on ice?);Kirchengemeinde
24.12.2024;16:30;Feuerwehrgerätehaus;Turmblasen;FFW Niederjosbach
25.12.2024;;;Gottesdienst Mitwirkung Kirchenchor;Kirchenchor
